ID,converted,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,lead_to_sc1_days,sc1_schedule_to_appointment_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,showed_up_sc1,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
82845,0,5,5,-44.0,44.0,0.0,0.0,0.1111111111111111,3,3,0,0.6,0.6,0.0,0.6,0,3,0,0.4822222222222222,0.16666666666666666,2,5
94783,0,10,10,-9.0,132.0,123.0,3.0,0.07518796992481203,5,0,0,0.5,0.0,0.0,0.6,1,0,1,0.588170426065163,0.09090909090909091,7,8
97213,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,7,9
97485,0,2,2,0.0,0.0,0.0,1.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,1,0.7400000000000001,0.3333333333333333,7,5
94794,0,2,2,0.0,0.0,0.0,1.0,2.0,1,0,0,0.5,0.0,0.0,1.0,1,0,1,0.7066666666666668,0.3333333333333333,7,8
84116,0,4,4,0.0,1.0,0.0,0.0,2.0,3,0,0,0.75,0.0,0.0,0.5,-3,0,1,0.6149999999999999,0.2,1,9
96827,0,3,3,0.0,1.0,0.0,0.0,1.5,3,0,0,1.0,0.0,0.0,0.33333333333333337,0,0,0,0.6966666666666667,0.25,7,5
97049,0,1,1,1.0,0.0,1.0,1.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,7,9
94848,0,2,2,0.0,0.0,1.0,2.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,1,0.7400000000000001,0.3333333333333333,7,5
90813,0,3,3,3.0,62.0,65.0,1.0,0.047619047619047616,2,0,0,0.6666666666666666,0.0,0.0,0.6666666666666667,1,0,1,0.6509523809523811,0.25,7,8
88038,0,2,2,0.0,67.0,0.0,0.0,0.029411764705882353,1,0,0,0.5,0.0,0.0,1.0,3,0,0,0.7005882352941177,0.3333333333333333,7,7
94811,0,1,1,0.0,0.0,0.0,2.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,7,9
96106,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0,0.82,0.5,7,9
24759,0,5,5,-12.0,208.0,118.0,-115.0,0.023923444976076555,5,0,0,1.0,0.0,0.0,0.0,0,0,1,0.6004784688995215,0.16666666666666666,3,5
45543,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,4,6
61490,0,3,3,1.0,150.0,1.0,0.0,0.019867549668874173,2,1,0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666667,0,1,1,0.5670640176600442,0.25,3,9
112771,0,3,3,0.0,0.0,0.0,3.0,3.0,2,0,0,0.6666666666666666,0.0,0.0,0.6666666666666667,1,0,1,0.7100000000000002,0.25,7,8
71582,0,1,1,0.0,0.0,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,1,0.82,0.5,7,9
