gross_FU,gross_SC,net_FU,net_SC,time_first_sc_to_first_net_fu,electricitybill,heatingbill,netcontractsigned,selfipa_done,zipregion_missing,evaluationtime_missing,desiredinstallationend_missing,electricitybill_missing,heatingbill_missing,mktgparamscore_missing,desiredinstallationend_encoded,mktg_High,mktg_Low,mktg_Medium,region_High_Performer,region_Large_Good,region_Medium,region_Other,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
1,1,1.0,1.0,-0.3580196919958994,-0.0430372967343879,-0.009672469096544817,0.0,0,0,0,0,0,1,0,2,False,True,False,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
13,3,5.0,1.0,-0.05698206138837034,0.10292244753298029,-0.009672469096544817,1.0,1,0,0,0,0,1,0,0,False,False,True,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
6,1,1.0,1.0,4.124082488622217,0.17590231966666436,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,False,True,False,False,False,True,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7400000000000001,0.3333333333333333,9.0,5.0
0,1,0.0,1.0,-0.38125232877590903,-0.13426213690149302,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,1,0.0,1.0,-0.38125232877590903,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
5,1,2.0,1.0,0.17511311778323968,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,True,False,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
3,4,3.0,1.0,0.3537609447762426,-0.006547360667545856,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,False,True,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
2,2,2.0,1.0,-0.22028588090488332,-0.07952723280122995,-0.009672469096544817,1.0,0,0,0,0,1,1,0,0,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,2,1.0,1.0,-0.22028588090488332,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,0,False,False,True,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
0,2,0.0,1.0,-0.38125232877590903,2.250355185066635,-0.009672469096544817,0.0,0,0,0,0,0,1,0,0,False,False,True,False,False,False,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
