gross_fu,gross_sc,net_fu,net_sc,time_first_sc_to_first_net_fu,electricitybill,heatingbill,grosscontractsigned,selfipa_done,zipregion_missing,evaluationtime_missing,desiredinstallationend_missing,electricitybill_missing,heatingbill_missing,aggregated_missing,desiredinstallationend_encoded,mktg_high,mktg_low,mktg_medium,region_high_performer,region_large_solid,region_lower,region_medium,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
0,1,0.0,1.0,-0.3633238638120175,-0.0773451208854063,-0.0085558281252147,1.0,0,0,1,1,1,1,0,4,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,1.0,-0.3633238638120175,-0.0265325986694397,-0.0085558281252147,1.0,0,0,1,1,0,1,0,4,False,False,True,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
1,1,1.0,1.0,-0.3600257650276413,-0.0065155444631499,-0.0085558281252147,1.0,0,0,0,0,0,1,0,0,False,False,True,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,1.0,-0.3633238638120175,-0.154333790909598,-0.0085558281252147,1.0,0,0,0,0,0,1,0,1,False,False,True,True,False,False,False,5,5,231.0,9.0,0.5,1,0,0,0.2,0.0,0.0,0.8,1,0,0.5466666666666667,0.1666666666666666,3,8
2,1,2.0,1.0,-0.3600248488890901,0.0427572043523327,-0.0085558281252147,1.0,0,0,0,0,0,1,0,0,False,True,False,True,False,False,False,1,1,259.0,0.0,1.0,1,0,0,1.0,0.0,0.0,0.0,0,0,0.62,0.5,3,5
1,2,1.0,1.0,-0.3600248488890901,0.0258196969470105,-0.0085558281252147,1.0,0,0,0,0,0,1,0,0,False,True,False,True,False,False,False,3,3,2.0,370.0,0.0080862533692722,2,0,0,0.6666666666666666,0.0,0.0,0.6666666666666667,-3,0,0.5834950584007188,0.25,1,9
8,1,5.0,1.0,-0.3600248488890901,0.3199164164394229,-0.0085558281252147,1.0,0,0,0,0,0,1,0,1,True,False,False,True,False,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
4,3,4.0,1.0,-0.3600239327505389,-0.0326916922713751,-0.0085558281252147,1.0,0,0,0,0,0,1,0,1,False,True,False,True,False,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
6,3,6.0,2.0,-0.3600230166119876,-0.0773451208854063,-0.0085558281252147,1.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,4,4,1.0,301.0,0.0132450331125827,4,1,0,1.0,0.25,0.0,0.75,0,1,0.7002649006622518,0.2,7,9
1,3,1.0,2.0,-0.3600239327505389,0.0766322191629771,-0.0085558281252147,1.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,1,1,133.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
