gross_FU,gross_SC,net_FU,net_SC,time_first_sc_to_first_net_fu,electricitybill,heatingbill,grosscontractsigned,selfipa_done,zipregion_missing,evaluationtime_missing,desiredinstallationend_missing,electricitybill_missing,heatingbill_missing,aggregated_missing,desiredinstallationend_encoded,mktg_High,mktg_Low,mktg_Medium,region_High_Performer,region_Large_Solid,region_Lower,region_Medium,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
0,2,0.0,0.0,-0.37067579132576894,-0.0019374733275239558,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,11,11,1.0,246.0,0.0445344129554655,3,1,0,0.2727272727272727,0.0909090909090909,0.0,0.8181818181818181,0,0,0.5281634155318365,0.0833333333333333,2,5
0,1,0.0,1.0,-0.37067579132576894,-0.017045022097226244,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,2,2,221.0,157.0,0.0126582278481012,2,0,0,1.0,0.0,0.0,0.0,0,0,0.600253164556962,0.3333333333333333,3,5
1,1,1.0,1.0,0.024508774381777725,-0.11524408910029112,-0.008900907610077119,0.0,0,0,0,0,0,1,0,2,False,True,False,False,True,False,False,3,3,0.0,280.0,0.0106761565836298,2,0,0,0.6666666666666666,0.0,0.0,0.6666666666666667,0,0,0.633546856465006,0.25,7,5
8,1,8.0,1.0,-0.12635069240977548,-0.0774752171760354,-0.008900907610077119,0.0,0,0,1,1,1,1,0,4,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
2,1,2.0,1.0,-0.22965524170868573,-0.0019374733275239558,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,0.0,-0.37067579132576894,0.1536702790004096,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,1,1,1.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
6,1,1.0,1.0,2.3659144102731937,0.3953910593156463,-0.0052493271230799575,0.0,0,0,0,0,0,0,0,2,False,True,False,True,False,False,False,8,8,1.0,2.0,2.6666666666666665,7,1,0,0.875,0.125,0.0,0.125,-3,0,0.5658333333333333,0.1111111111111111,0,5
0,1,0.0,1.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,1,1,1,1,0,4,False,True,False,False,False,True,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,0.0,-0.37067579132576894,0.07360027052098748,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,2,2,223.0,15.0,0.125,2,1,0,1.0,0.5,0.0,0.5,0,0,0.6024999999999999,0.3333333333333333,2,5
0,1,0.0,1.0,-0.37067579132576894,0.195971415555576,-0.008900907610077119,0.0,0,0,0,0,0,1,0,2,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
4,1,1.0,1.0,2.548829938025757,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,1,False,True,False,False,True,False,False,8,8,1.0,291.0,0.0273972602739726,4,0,0,0.5,0.0,0.0,0.5,1,0,0.5672146118721462,0.1111111111111111,3,8
